field,value,measurement,timestamp,entity_id,domain
value,3262.0,W,2025-11-16 20:19:04.119299+00:00,ams_linje6_p,sensor
value,2602.0,W,2025-11-16 20:19:06.787265+00:00,ams_linje6_p,sensor
value,2459.0,W,2025-11-16 20:19:09.138262+00:00,ams_linje6_p,sensor
value,2964.0,W,2025-11-16 20:19:19.067505+00:00,ams_linje6_p,sensor
value,3175.0,W,2025-11-16 20:19:19.114881+00:00,ams_linje6_p,sensor
value,3282.0,W,2025-11-16 20:19:19.172497+00:00,ams_linje6_p,sensor
value,3414.0,W,2025-11-16 20:19:22.639545+00:00,ams_linje6_p,sensor
value,3543.0,W,2025-11-16 20:19:24.110465+00:00,ams_linje6_p,sensor
value,3620.0,W,2025-11-16 20:19:26.600011+00:00,ams_linje6_p,sensor
value,3659.0,W,2025-11-16 20:19:29.113440+00:00,ams_linje6_p,sensor
value,3669.0,W,2025-11-16 20:19:34.108678+00:00,ams_linje6_p,sensor
value,3656.0,W,2025-11-16 20:19:37.812413+00:00,ams_linje6_p,sensor
value,3701.0,W,2025-11-16 20:19:42.629905+00:00,ams_linje6_p,sensor
value,126.0,W,2025-11-16 20:19:43.637482+00:00,10badgammel13a_active_power,sensor
value,3754.0,W,2025-11-16 20:19:49.067197+00:00,ams_linje6_p,sensor
value,3825.0,W,2025-11-16 20:19:49.103715+00:00,ams_linje6_p,sensor
value,3904.0,W,2025-11-16 20:19:52.631701+00:00,ams_linje6_p,sensor
value,4054.0,W,2025-11-16 20:19:56.585292+00:00,ams_linje6_p,sensor
value,4162.0,W,2025-11-16 20:19:59.096356+00:00,ams_linje6_p,sensor
value,4195.0,W,2025-11-16 20:20:02.742597+00:00,ams_linje6_p,sensor
value,4330.0,W,2025-11-16 20:20:06.606750+00:00,ams_linje6_p,sensor
value,127.0,W,2025-11-16 20:20:13.606823+00:00,10badgammel13a_active_power,sensor
value,22.0,W,2025-11-16 20:20:14.777178+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,4453.0,W,2025-11-16 20:20:19.163445+00:00,ams_linje6_p,sensor
value,4559.0,W,2025-11-16 20:20:19.274603+00:00,ams_linje6_p,sensor
value,4691.0,W,2025-11-16 20:20:24.131688+00:00,ams_linje6_p,sensor
value,4830.0,W,2025-11-16 20:20:26.633344+00:00,ams_linje6_p,sensor
value,4977.0,W,2025-11-16 20:20:29.128976+00:00,ams_linje6_p,sensor
value,5354.0,W,2025-11-16 20:20:34.101508+00:00,ams_linje6_p,sensor
value,5629.0,W,2025-11-16 20:20:36.628425+00:00,ams_linje6_p,sensor
value,5888.0,W,2025-11-16 20:20:42.630785+00:00,ams_linje6_p,sensor
value,126.0,W,2025-11-16 20:20:43.588329+00:00,10badgammel13a_active_power,sensor
value,6118.0,W,2025-11-16 20:20:48.872481+00:00,ams_linje6_p,sensor
value,6179.0,W,2025-11-16 20:20:48.970645+00:00,ams_linje6_p,sensor
value,6171.0,W,2025-11-16 20:20:49.129477+00:00,ams_linje6_p,sensor
value,6177.0,W,2025-11-16 20:20:52.629148+00:00,ams_linje6_p,sensor
value,6184.0,W,2025-11-16 20:20:56.588443+00:00,ams_linje6_p,sensor
value,6171.0,W,2025-11-16 20:21:02.642136+00:00,ams_linje6_p,sensor
value,6155.0,W,2025-11-16 20:21:04.111226+00:00,ams_linje6_p,sensor
value,6167.0,W,2025-11-16 20:21:06.626932+00:00,ams_linje6_p,sensor
value,6129.0,W,2025-11-16 20:21:10.855058+00:00,ams_linje6_p,sensor
value,6138.0,W,2025-11-16 20:21:19.028231+00:00,ams_linje6_p,sensor
value,6125.0,W,2025-11-16 20:21:19.076200+00:00,ams_linje6_p,sensor
value,6138.0,W,2025-11-16 20:21:19.115656+00:00,ams_linje6_p,sensor
value,6115.0,W,2025-11-16 20:21:22.624665+00:00,ams_linje6_p,sensor
value,5938.0,W,2025-11-16 20:21:26.593561+00:00,ams_linje6_p,sensor
value,5928.0,W,2025-11-16 20:21:32.621929+00:00,ams_linje6_p,sensor
value,5919.0,W,2025-11-16 20:21:34.118870+00:00,ams_linje6_p,sensor
value,5970.0,W,2025-11-16 20:21:36.621458+00:00,ams_linje6_p,sensor
value,5993.0,W,2025-11-16 20:21:39.086731+00:00,ams_linje6_p,sensor
value,79.0,W,2025-11-16 20:21:48.005200+00:00,05_kjokkenlys15a_active_power,sensor
value,139.0,W,2025-11-16 20:21:48.713231+00:00,06_kjeller15a_active_power,sensor
value,6040.0,W,2025-11-16 20:21:49.380903+00:00,ams_linje6_p,sensor
value,6042.0,W,2025-11-16 20:21:49.436826+00:00,ams_linje6_p,sensor
value,5999.0,W,2025-11-16 20:21:49.465652+00:00,ams_linje6_p,sensor
value,5982.0,W,2025-11-16 20:21:52.618595+00:00,ams_linje6_p,sensor
value,5840.0,W,2025-11-16 20:21:56.608463+00:00,ams_linje6_p,sensor
value,5760.0,W,2025-11-16 20:22:02.631488+00:00,ams_linje6_p,sensor
value,5709.0,W,2025-11-16 20:22:04.091666+00:00,ams_linje6_p,sensor
value,5632.0,W,2025-11-16 20:22:06.604808+00:00,ams_linje6_p,sensor
value,5566.0,W,2025-11-16 20:22:09.104296+00:00,ams_linje6_p,sensor
value,80.0,W,2025-11-16 20:22:17.611016+00:00,05_kjokkenlys15a_active_power,sensor
value,5475.0,W,2025-11-16 20:22:18.986832+00:00,ams_linje6_p,sensor
value,5426.0,W,2025-11-16 20:22:19.050449+00:00,ams_linje6_p,sensor
value,5422.0,W,2025-11-16 20:22:19.101195+00:00,ams_linje6_p,sensor
value,5390.0,W,2025-11-16 20:22:22.619426+00:00,ams_linje6_p,sensor
value,5413.0,W,2025-11-16 20:22:26.615960+00:00,ams_linje6_p,sensor
value,5397.0,W,2025-11-16 20:22:32.637970+00:00,ams_linje6_p,sensor
value,5392.0,W,2025-11-16 20:22:34.091505+00:00,ams_linje6_p,sensor
value,5368.0,W,2025-11-16 20:22:36.616430+00:00,ams_linje6_p,sensor
value,5356.0,W,2025-11-16 20:22:39.100767+00:00,ams_linje6_p,sensor
value,127.0,W,2025-11-16 20:22:43.597823+00:00,10badgammel13a_active_power,sensor
value,21.0,W,2025-11-16 20:22:44.774868+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,5351.0,W,2025-11-16 20:22:48.992223+00:00,ams_linje6_p,sensor
value,5336.0,W,2025-11-16 20:22:49.026335+00:00,ams_linje6_p,sensor
value,5366.0,W,2025-11-16 20:22:49.154142+00:00,ams_linje6_p,sensor
value,5349.0,W,2025-11-16 20:22:52.639799+00:00,ams_linje6_p,sensor
value,5347.0,W,2025-11-16 20:22:56.610016+00:00,ams_linje6_p,sensor
value,5359.0,W,2025-11-16 20:23:02.640315+00:00,ams_linje6_p,sensor
value,5368.0,W,2025-11-16 20:23:04.091545+00:00,ams_linje6_p,sensor
value,5371.0,W,2025-11-16 20:23:06.598541+00:00,ams_linje6_p,sensor
value,5381.0,W,2025-11-16 20:23:09.133204+00:00,ams_linje6_p,sensor
value,126.0,W,2025-11-16 20:23:13.577503+00:00,10badgammel13a_active_power,sensor
value,130.0,W,2025-11-16 20:23:18.418546+00:00,06_kjeller15a_active_power,sensor
value,5383.0,W,2025-11-16 20:23:19.031150+00:00,ams_linje6_p,sensor
value,5401.0,W,2025-11-16 20:23:19.097076+00:00,ams_linje6_p,sensor
value,5399.0,W,2025-11-16 20:23:19.134365+00:00,ams_linje6_p,sensor
value,5422.0,W,2025-11-16 20:23:22.637970+00:00,ams_linje6_p,sensor
value,5406.0,W,2025-11-16 20:23:26.616809+00:00,ams_linje6_p,sensor
value,5417.0,W,2025-11-16 20:23:32.633209+00:00,ams_linje6_p,sensor
value,5435.0,W,2025-11-16 20:23:35.499566+00:00,ams_linje6_p,sensor
value,5436.0,W,2025-11-16 20:23:39.100171+00:00,ams_linje6_p,sensor
value,22.0,W,2025-11-16 20:23:44.762102+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,135.0,W,2025-11-16 20:23:48.236411+00:00,06_kjeller15a_active_power,sensor
value,5452.0,W,2025-11-16 20:23:48.901462+00:00,ams_linje6_p,sensor
value,5448.0,W,2025-11-16 20:23:48.940580+00:00,ams_linje6_p,sensor
value,5472.0,W,2025-11-16 20:23:49.142421+00:00,ams_linje6_p,sensor
value,5476.0,W,2025-11-16 20:23:56.992211+00:00,ams_linje6_p,sensor
value,5473.0,W,2025-11-16 20:23:57.060196+00:00,ams_linje6_p,sensor
value,5484.0,W,2025-11-16 20:24:02.632823+00:00,ams_linje6_p,sensor
value,5483.0,W,2025-11-16 20:24:04.112820+00:00,ams_linje6_p,sensor
value,5502.0,W,2025-11-16 20:24:06.657418+00:00,ams_linje6_p,sensor
value,5516.0,W,2025-11-16 20:24:09.116724+00:00,ams_linje6_p,sensor
value,5518.0,W,2025-11-16 20:24:19.143697+00:00,ams_linje6_p,sensor
value,5529.0,W,2025-11-16 20:24:19.189733+00:00,ams_linje6_p,sensor
value,5548.0,W,2025-11-16 20:24:19.227118+00:00,ams_linje6_p,sensor
value,5535.0,W,2025-11-16 20:24:22.618620+00:00,ams_linje6_p,sensor
value,5552.0,W,2025-11-16 20:24:26.588759+00:00,ams_linje6_p,sensor
value,5566.0,W,2025-11-16 20:24:32.639189+00:00,ams_linje6_p,sensor
value,5573.0,W,2025-11-16 20:24:34.115674+00:00,ams_linje6_p,sensor
value,5586.0,W,2025-11-16 20:24:36.597018+00:00,ams_linje6_p,sensor
value,5576.0,W,2025-11-16 20:24:39.106290+00:00,ams_linje6_p,sensor
value,5603.0,W,2025-11-16 20:24:49.159118+00:00,ams_linje6_p,sensor
value,5605.0,W,2025-11-16 20:24:49.214852+00:00,ams_linje6_p,sensor
value,5639.0,W,2025-11-16 20:24:49.266620+00:00,ams_linje6_p,sensor
value,5612.0,W,2025-11-16 20:24:52.633358+00:00,ams_linje6_p,sensor
value,5625.0,W,2025-11-16 20:24:56.666236+00:00,ams_linje6_p,sensor
value,5640.0,W,2025-11-16 20:25:02.654244+00:00,ams_linje6_p,sensor
value,5657.0,W,2025-11-16 20:25:05.505176+00:00,ams_linje6_p,sensor
value,5658.0,W,2025-11-16 20:25:06.609745+00:00,ams_linje6_p,sensor
value,5668.0,W,2025-11-16 20:25:09.106082+00:00,ams_linje6_p,sensor
value,138.0,W,2025-11-16 20:25:18.386563+00:00,06_kjeller15a_active_power,sensor
value,5672.0,W,2025-11-16 20:25:19.045657+00:00,ams_linje6_p,sensor
value,5676.0,W,2025-11-16 20:25:19.078988+00:00,ams_linje6_p,sensor
value,5708.0,W,2025-11-16 20:25:21.944228+00:00,ams_linje6_p,sensor
value,5691.0,W,2025-11-16 20:25:22.643660+00:00,ams_linje6_p,sensor
value,5710.0,W,2025-11-16 20:25:26.649851+00:00,ams_linje6_p,sensor
value,5723.0,W,2025-11-16 20:25:32.659631+00:00,ams_linje6_p,sensor
value,5692.0,W,2025-11-16 20:25:34.133995+00:00,ams_linje6_p,sensor
value,5746.0,W,2025-11-16 20:25:36.613339+00:00,ams_linje6_p,sensor
value,5741.0,W,2025-11-16 20:25:48.896273+00:00,ams_linje6_p,sensor
value,5742.0,W,2025-11-16 20:25:48.937965+00:00,ams_linje6_p,sensor
value,5736.0,W,2025-11-16 20:25:51.566299+00:00,ams_linje6_p,sensor
value,5752.0,W,2025-11-16 20:25:52.635519+00:00,ams_linje6_p,sensor
value,5779.0,W,2025-11-16 20:25:56.601259+00:00,ams_linje6_p,sensor
value,5772.0,W,2025-11-16 20:25:59.094599+00:00,ams_linje6_p,sensor
value,5771.0,W,2025-11-16 20:26:04.100743+00:00,ams_linje6_p,sensor
value,5789.0,W,2025-11-16 20:26:06.616364+00:00,ams_linje6_p,sensor
value,5815.0,W,2025-11-16 20:26:09.113884+00:00,ams_linje6_p,sensor
value,5811.0,W,2025-11-16 20:26:19.013188+00:00,ams_linje6_p,sensor
value,5813.0,W,2025-11-16 20:26:19.067349+00:00,ams_linje6_p,sensor
value,5808.0,W,2025-11-16 20:26:21.025441+00:00,ams_linje6_p,sensor
value,5836.0,W,2025-11-16 20:26:22.640654+00:00,ams_linje6_p,sensor
value,5845.0,W,2025-11-16 20:26:26.608595+00:00,ams_linje6_p,sensor
value,5847.0,W,2025-11-16 20:26:29.125504+00:00,ams_linje6_p,sensor
value,5841.0,W,2025-11-16 20:26:34.105486+00:00,ams_linje6_p,sensor
value,5877.0,W,2025-11-16 20:26:36.608297+00:00,ams_linje6_p,sensor
value,79.0,W,2025-11-16 20:26:47.871708+00:00,05_kjokkenlys15a_active_power,sensor
value,137.0,W,2025-11-16 20:26:48.572471+00:00,06_kjeller15a_active_power,sensor
value,5871.0,W,2025-11-16 20:26:49.407477+00:00,ams_linje6_p,sensor
value,5908.0,W,2025-11-16 20:26:49.484655+00:00,ams_linje6_p,sensor
value,5882.0,W,2025-11-16 20:26:54.383227+00:00,ams_linje6_p,sensor
value,5897.0,W,2025-11-16 20:26:58.027377+00:00,ams_linje6_p,sensor
value,5891.0,W,2025-11-16 20:27:02.660801+00:00,ams_linje6_p,sensor
value,5926.0,W,2025-11-16 20:27:04.100269+00:00,ams_linje6_p,sensor
value,5928.0,W,2025-11-16 20:27:06.632319+00:00,ams_linje6_p,sensor
value,5918.0,W,2025-11-16 20:27:09.097964+00:00,ams_linje6_p,sensor
value,21.0,W,2025-11-16 20:27:14.813124+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,80.0,W,2025-11-16 20:27:17.656400+00:00,05_kjokkenlys15a_active_power,sensor
value,5919.0,W,2025-11-16 20:27:19.049119+00:00,ams_linje6_p,sensor
value,5960.0,W,2025-11-16 20:27:19.089518+00:00,ams_linje6_p,sensor
value,5972.0,W,2025-11-16 20:27:19.166890+00:00,ams_linje6_p,sensor
value,5958.0,W,2025-11-16 20:27:23.108545+00:00,ams_linje6_p,sensor
value,5988.0,W,2025-11-16 20:27:26.603882+00:00,ams_linje6_p,sensor
value,5994.0,W,2025-11-16 20:27:32.631997+00:00,ams_linje6_p,sensor
value,5958.0,W,2025-11-16 20:27:34.116903+00:00,ams_linje6_p,sensor
value,5985.0,W,2025-11-16 20:27:36.618016+00:00,ams_linje6_p,sensor
value,5937.0,W,2025-11-16 20:27:39.109291+00:00,ams_linje6_p,sensor
value,22.0,W,2025-11-16 20:27:45.018802+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,79.0,W,2025-11-16 20:27:47.895711+00:00,05_kjokkenlys15a_active_power,sensor
value,5943.0,W,2025-11-16 20:27:49.269880+00:00,ams_linje6_p,sensor
value,5964.0,W,2025-11-16 20:27:49.308436+00:00,ams_linje6_p,sensor
value,5955.0,W,2025-11-16 20:27:49.342906+00:00,ams_linje6_p,sensor
value,5946.0,W,2025-11-16 20:27:54.063081+00:00,ams_linje6_p,sensor
value,5976.0,W,2025-11-16 20:27:56.596919+00:00,ams_linje6_p,sensor
value,5959.0,W,2025-11-16 20:27:59.106956+00:00,ams_linje6_p,sensor
value,5937.0,W,2025-11-16 20:28:04.093061+00:00,ams_linje6_p,sensor
value,5778.0,W,2025-11-16 20:28:06.617978+00:00,ams_linje6_p,sensor
value,5563.0,W,2025-11-16 20:28:09.132529+00:00,ams_linje6_p,sensor
value,73.0,W,2025-11-16 20:28:18.396960+00:00,06_kjeller15a_active_power,sensor
value,5261.0,W,2025-11-16 20:28:19.017265+00:00,ams_linje6_p,sensor
value,5249.0,W,2025-11-16 20:28:19.061651+00:00,ams_linje6_p,sensor
value,5268.0,W,2025-11-16 20:28:19.099899+00:00,ams_linje6_p,sensor
value,5263.0,W,2025-11-16 20:28:24.023778+00:00,ams_linje6_p,sensor
value,5277.0,W,2025-11-16 20:28:29.053039+00:00,ams_linje6_p,sensor
value,5272.0,W,2025-11-16 20:28:32.623857+00:00,ams_linje6_p,sensor
value,5288.0,W,2025-11-16 20:28:34.119353+00:00,ams_linje6_p,sensor
value,5259.0,W,2025-11-16 20:28:36.610041+00:00,ams_linje6_p,sensor
value,5291.0,W,2025-11-16 20:28:39.114047+00:00,ams_linje6_p,sensor
value,5287.0,W,2025-11-16 20:28:49.646925+00:00,ams_linje6_p,sensor
value,5286.0,W,2025-11-16 20:28:49.702570+00:00,ams_linje6_p,sensor
value,5279.0,W,2025-11-16 20:28:49.729201+00:00,ams_linje6_p,sensor
value,5301.0,W,2025-11-16 20:28:52.647001+00:00,ams_linje6_p,sensor
value,5289.0,W,2025-11-16 20:28:56.606515+00:00,ams_linje6_p,sensor
value,5170.0,W,2025-11-16 20:29:02.645981+00:00,ams_linje6_p,sensor
value,5042.0,W,2025-11-16 20:29:04.142838+00:00,ams_linje6_p,sensor
value,4788.0,W,2025-11-16 20:29:06.619085+00:00,ams_linje6_p,sensor
value,4660.0,W,2025-11-16 20:29:09.116451+00:00,ams_linje6_p,sensor
value,21.0,W,2025-11-16 20:29:14.819024+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,4401.0,W,2025-11-16 20:29:19.091358+00:00,ams_linje6_p,sensor
value,4328.0,W,2025-11-16 20:29:19.174438+00:00,ams_linje6_p,sensor
value,4323.0,W,2025-11-16 20:29:19.207155+00:00,ams_linje6_p,sensor
value,4291.0,W,2025-11-16 20:29:27.137674+00:00,ams_linje6_p,sensor
value,4300.0,W,2025-11-16 20:29:29.107206+00:00,ams_linje6_p,sensor
value,4306.0,W,2025-11-16 20:29:34.140486+00:00,ams_linje6_p,sensor
value,4305.0,W,2025-11-16 20:29:36.590907+00:00,ams_linje6_p,sensor
value,127.0,W,2025-11-16 20:29:43.792967+00:00,10badgammel13a_active_power,sensor
value,22.0,W,2025-11-16 20:29:45.032361+00:00,08_lysstikk2ndfloor1_active_power,sensor
value,4298.0,W,2025-11-16 20:29:49.592364+00:00,ams_linje6_p,sensor
value,4304.0,W,2025-11-16 20:29:49.634204+00:00,ams_linje6_p,sensor
value,4288.0,W,2025-11-16 20:29:49.668862+00:00,ams_linje6_p,sensor
value,4301.0,W,2025-11-16 20:29:52.653237+00:00,ams_linje6_p,sensor
value,4293.0,W,2025-11-16 20:29:58.091780+00:00,ams_linje6_p,sensor
value,4288.0,W,2025-11-16 20:30:02.623800+00:00,ams_linje6_p,sensor
value,4182.0,W,2025-11-16 20:30:04.118152+00:00,ams_linje6_p,sensor
value,3965.0,W,2025-11-16 20:30:06.626689+00:00,ams_linje6_p,sensor
value,3857.0,W,2025-11-16 20:30:09.102440+00:00,ams_linje6_p,sensor
value,126.0,W,2025-11-16 20:30:13.616592+00:00,10badgammel13a_active_power,sensor
value,3577.0,W,2025-11-16 20:30:18.916499+00:00,ams_linje6_p,sensor
value,3450.0,W,2025-11-16 20:30:18.987136+00:00,ams_linje6_p,sensor
value,3282.0,W,2025-11-16 20:30:19.091549+00:00,ams_linje6_p,sensor
value,3189.0,W,2025-11-16 20:30:22.624762+00:00,ams_linje6_p,sensor
value,3015.0,W,2025-11-16 20:30:26.605866+00:00,ams_linje6_p,sensor
value,2960.0,W,2025-11-16 20:30:29.165143+00:00,ams_linje6_p,sensor
value,2905.0,W,2025-11-16 20:30:32.621648+00:00,ams_linje6_p,sensor
value,2911.0,W,2025-11-16 20:30:36.627253+00:00,ams_linje6_p,sensor
value,2903.0,W,2025-11-16 20:30:42.623611+00:00,ams_linje6_p,sensor
value,127.0,W,2025-11-16 20:30:43.613093+00:00,10badgammel13a_active_power,sensor
value,2897.0,W,2025-11-16 20:30:48.917645+00:00,ams_linje6_p,sensor
value,2907.0,W,2025-11-16 20:30:49.131037+00:00,ams_linje6_p,sensor
value,2906.0,W,2025-11-16 20:30:52.663192+00:00,ams_linje6_p,sensor
value,2908.0,W,2025-11-16 20:30:56.608900+00:00,ams_linje6_p,sensor
value,2904.0,W,2025-11-16 20:31:02.620047+00:00,ams_linje6_p,sensor
value,2910.0,W,2025-11-16 20:31:04.094920+00:00,ams_linje6_p,sensor
value,2913.0,W,2025-11-16 20:31:06.612568+00:00,ams_linje6_p,sensor
value,126.0,W,2025-11-16 20:31:13.692272+00:00,10badgammel13a_active_power,sensor
value,2918.0,W,2025-11-16 20:31:19.053835+00:00,ams_linje6_p,sensor
value,2913.0,W,2025-11-16 20:31:19.097611+00:00,ams_linje6_p,sensor
value,2922.0,W,2025-11-16 20:31:19.133689+00:00,ams_linje6_p,sensor
value,2911.0,W,2025-11-16 20:31:22.662637+00:00,ams_linje6_p,sensor
value,2917.0,W,2025-11-16 20:31:26.608428+00:00,ams_linje6_p,sensor
value,2914.0,W,2025-11-16 20:31:32.644358+00:00,ams_linje6_p,sensor
value,2924.0,W,2025-11-16 20:31:34.112934+00:00,ams_linje6_p,sensor
value,2926.0,W,2025-11-16 20:31:36.608555+00:00,ams_linje6_p,sensor
value,2928.0,W,2025-11-16 20:31:39.130845+00:00,ams_linje6_p,sensor
value,127.0,W,2025-11-16 20:31:43.584780+00:00,10badgammel13a_active_power,sensor
value,3332.0,W,2025-11-16 20:31:49.266016+00:00,ams_linje6_p,sensor
value,3026.0,W,2025-11-16 20:31:49.306928+00:00,ams_linje6_p,sensor
value,3018.0,W,2025-11-16 20:31:49.336285+00:00,ams_linje6_p,sensor
value,3022.0,W,2025-11-16 20:31:52.642504+00:00,ams_linje6_p,sensor
value,3024.0,W,2025-11-16 20:31:56.631667+00:00,ams_linje6_p,sensor
value,2995.0,W,2025-11-16 20:32:04.106835+00:00,ams_linje6_p,sensor
value,2908.0,W,2025-11-16 20:32:06.628899+00:00,ams_linje6_p,sensor
