,field,value,measurement,timestamp,entity_id,domain
63,value,81.0,W,2025-11-17 18:54:23.752746+00:00,05_kjokkenlys15a_active_power,sensor
64,value,80.0,W,2025-11-17 18:54:53.703438+00:00,05_kjokkenlys15a_active_power,sensor
65,value,81.0,W,2025-11-17 18:55:23.919977+00:00,05_kjokkenlys15a_active_power,sensor
66,value,80.0,W,2025-11-17 19:01:35.032785+00:00,05_kjokkenlys15a_active_power,sensor
67,value,82.0,W,2025-11-17 19:04:16.956026+00:00,05_kjokkenlys15a_active_power,sensor
68,value,81.0,W,2025-11-17 19:08:46.870536+00:00,05_kjokkenlys15a_active_power,sensor
69,value,80.0,W,2025-11-17 19:15:16.769290+00:00,05_kjokkenlys15a_active_power,sensor
70,value,79.0,W,2025-11-17 19:15:46.880160+00:00,05_kjokkenlys15a_active_power,sensor
71,value,80.0,W,2025-11-17 19:16:46.819753+00:00,05_kjokkenlys15a_active_power,sensor
72,value,79.0,W,2025-11-17 19:17:16.903571+00:00,05_kjokkenlys15a_active_power,sensor
73,value,80.0,W,2025-11-17 19:20:46.745780+00:00,05_kjokkenlys15a_active_power,sensor
74,value,79.0,W,2025-11-17 19:23:16.915977+00:00,05_kjokkenlys15a_active_power,sensor
75,value,80.0,W,2025-11-17 19:24:46.781796+00:00,05_kjokkenlys15a_active_power,sensor
76,value,79.0,W,2025-11-17 19:26:46.737593+00:00,05_kjokkenlys15a_active_power,sensor
77,value,80.0,W,2025-11-17 19:27:16.758155+00:00,05_kjokkenlys15a_active_power,sensor
